candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions,exit_id,setup_id,split,session_count,winner_retention,loser_removal,expectancy_improvement_vs_baseline,training_expectancy_improvement,heldout_expectancy_improvement,improvement_survival_ratio,improvement_sign_survived
890,887,3,448,412,27,0.5050732807215332,17958.0,-15345.0,1.1702834799608992,2613.000000000001,2.9458850056369794,0.8570417888148546,0.32573289902280145,102613.0,2.613000000000001,1130.0,1.0959013688768011,127.58219178082192,fixed_15m,exclusion,train,146,0.49069003285870755,0.6878787878787879,9.494955476886439,9.494955476886439,-3.1466966966966954,-0.331407209265667,False
3487,3483,4,1382,1998,103,0.3967843812805053,51499.0,-72523.0,0.7101057595521421,-21024.0,-6.036175710594315,-1.1744868021663026,-1.639344262295095,78976.0,-21.024,21229.0,21.229,349.9665071770335,fixed_15m,inclusion,full,209,1.0,0.0,0.0,0.0,0.0,,False
1170,1170,0,469,678,23,0.4008547008547009,18574.0,-24450.0,0.7596728016359918,-5876.000000000002,-5.022222222222224,-0.8509480312327052,-1.9672342621259054,94124.0,-5.876000000000002,6090.0,6.089451949324561,390.00000000000006,fixed_15m,inclusion,heldout,63,1.0,0.0,0.0,0.0,0.0,,False
2317,2313,4,913,1320,80,0.39472546476437526,32925.0,-48073.0,0.6848958875044203,-15148.0,-6.549070471249459,-1.338144546218317,-1.552106430155198,84852.0,-15.148,15219.0,15.219,332.6917808219178,fixed_15m,inclusion,train,146,1.0,0.0,0.0,0.0,0.0,,False
288,286,2,161,123,2,0.5629370629370629,4863.0,-3730.000000000001,1.303753351206434,1133.0,3.9615384615384617,1.326498844146448,1.1930176622119815,101133.0,1.133,981.0,0.9608603667136814,28.736842105263158,fixed_15m,quality_top_leaf,full,209,0.11649782923299566,0.9384384384384384,9.997714172132778,16.857528182692242,-6.024836601307186,-0.35739739159937656,False
85,85,0,35,50,0,0.4117647058823529,1052.0000000000002,-1991.0,0.528377699648418,-938.9999999999999,-11.04705882352941,-1.8098199745971766,-1.3698630136986356,99061.0,-0.939,981.0,0.9807646164920419,28.333333333333336,fixed_15m,quality_top_leaf,heldout,63,0.07462686567164178,0.9262536873156342,-6.024836601307186,16.857528182692242,-6.024836601307186,-0.35739739159937656,False
203,201,2,126,73,2,0.6268656716417911,3811.0000000000005,-1739.0000000000005,2.191489361702127,2071.9999999999995,10.308457711442784,2.6528028222221103,1.9867549668874274,102072.0,2.0719999999999996,366.0,0.36596706296433323,28.910958904109588,fixed_15m,quality_top_leaf,train,146,0.1380065717415115,0.9446969696969697,16.857528182692242,16.857528182692242,-6.024836601307186,-0.35739739159937656,False
3487,3487,0,1398,2028,61,0.4009176942930886,75067.0,-99096.0,0.7575179623799144,-24029.0,-6.891023802695727,-1.3140333526560797,-2.7295285359801524,75971.0,-24.029,25637.0,25.49144385558461,350.3684210526316,fixed_30m,baseline,full,209,1.0,0.0,0.0,0.0,0.0,,False
1170,1170,0,480,673,17,0.41025641025641024,27324.0,-31732.0,0.8610866002773225,-4408.000000000001,-3.7675213675213683,-0.3335902508584078,-2.8622202056866497,95592.0,-4.408000000000001,5456.0,5.455399906010339,390.00000000000006,fixed_30m,baseline,heldout,63,1.0,0.0,0.0,0.0,0.0,,False
2317,2317,0,918,1355,44,0.3962019853258524,47743.0,-67364.0,0.7087316667656315,-19621.0,-8.468277945619336,-1.8091211511469194,-2.6548672566371723,80379.0,-19.621,20211.0,20.096250410158,333.2671232876712,fixed_30m,baseline,train,146,1.0,0.0,0.0,0.0,0.0,,False
784,784,0,380,396,8,0.4846938775510204,20595.0,-19360.0,1.0637913223140496,1235.0,1.5752551020408163,0.6339897181910247,-0.39043509965969725,101235.0,1.2349999999999999,2856.0,2.7440694088144584,78.77511961722487,fixed_30m,combined,full,209,0.2718168812589413,0.8047337278106509,8.466278904736544,14.345404599683611,-3.5814982403217703,-0.24966170981338237,False
255,255,0,105,149,1,0.4117647058823529,5080.0,-6954.0,0.730514811619212,-1874.0000000000005,-7.349019607843139,-1.345550068545035,-3.105590062111807,98126.0,-1.8740000000000003,1916.0,1.9154253723882835,85.0,fixed_30m,combined,heldout,63,0.21875,0.7786032689450223,-3.5814982403217703,14.345404599683611,-3.5814982403217703,-0.24966170981338237,False
529,529,0,275,247,7,0.5198487712665406,15515.0,-12406.0,1.2506045461873287,3109.000000000001,5.877126654064274,1.58821022030387,0.7633587786259444,103109.0,3.109000000000001,1157.0,1.1160305196245814,76.08904109589041,fixed_30m,combined,train,146,0.2995642701525055,0.8177121771217712,14.345404599683611,14.345404599683611,-3.5814982403217703,-0.24966170981338237,False
784,784,0,380,396,8,0.4846938775510204,20595.0,-19360.0,1.0637913223140496,1235.0,1.5752551020408163,0.6339897181910247,-0.39043509965969725,101235.0,1.2349999999999999,2856.0,2.7440694088144584,78.77511961722487,fixed_30m,exclusion,full,209,0.2718168812589413,0.8047337278106509,8.466278904736544,14.345404599683611,-3.5814982403217703,-0.24966170981338237,False
255,255,0,105,149,1,0.4117647058823529,5080.0,-6954.0,0.730514811619212,-1874.0000000000005,-7.349019607843139,-1.345550068545035,-3.105590062111807,98126.0,-1.8740000000000003,1916.0,1.9154253723882835,85.0,fixed_30m,exclusion,heldout,63,0.21875,0.7786032689450223,-3.5814982403217703,14.345404599683611,-3.5814982403217703,-0.24966170981338237,False
529,529,0,275,247,7,0.5198487712665406,15515.0,-12406.0,1.2506045461873287,3109.000000000001,5.877126654064274,1.58821022030387,0.7633587786259444,103109.0,3.109000000000001,1157.0,1.1160305196245814,76.08904109589041,fixed_30m,exclusion,train,146,0.2995642701525055,0.8177121771217712,14.345404599683611,14.345404599683611,-3.5814982403217703,-0.24966170981338237,False
2829,2829,0,1211,1574,44,0.42806645457758924,64360.0,-78176.0,0.8232705689725747,-13816.0,-4.883704489218805,-0.8169123076407612,-2.051282051282044,86184.0,-13.816,17351.0,17.274818052388966,284.2535885167464,fixed_30m,inclusion,full,209,0.8662374821173104,0.2238658777120316,2.0073193134769225,2.0462595969954833,1.8044066134230066,0.8818072819657933,True
976,976,0,421,542,13,0.43135245901639346,23479.0,-25395.0,0.9245520771805473,-1916.0000000000011,-1.9631147540983618,0.03187971224898444,-2.5344036697247665,98084.0,-1.916000000000001,5021.0,5.020447750747418,325.3333333333333,fixed_30m,inclusion,heldout,63,0.8770833333333333,0.19465081723625555,1.8044066134230066,2.0462595969954833,1.8044066134230066,0.8818072819657933,True
1853,1853,0,790,1032,31,0.4263356718834323,40881.0,-52781.0,0.7745400807108619,-11900.0,-6.422018348623853,-1.2639824703026024,-1.85185185185186,88100.0,-11.899999999999999,12360.0,12.305731723101124,266.527397260274,fixed_30m,inclusion,train,146,0.8605664488017429,0.23837638376383763,2.0462595969954833,2.0462595969954833,1.8044066134230066,0.8818072819657933,True
75,75,0,33,41,1,0.44,2837.9999999999995,-2134.0,1.3298969072164946,703.9999999999995,9.386666666666661,1.2256545942414467,-1.6157989228007152,100704.0,0.7039999999999995,1018.0,1.0010029695765894,7.535885167464114,fixed_30m,quality_top_leaf,full,209,0.023605150214592276,0.9797830374753451,16.27769046936239,29.95103656630898,-28.114831573655103,-0.9386931070452711,False
17,17,0,5,12,0,0.29411764705882354,125.0000000000001,-667.0,0.18740629685157437,-542.0,-31.88235294117647,-6.941465940842206,-8.750000000000002,99458.0,-0.542,566.0,0.5660000000000001,5.666666666666666,fixed_30m,quality_top_leaf,heldout,63,0.010416666666666666,0.9821693907875185,-28.114831573655103,29.95103656630898,-28.114831573655103,-0.9386931070452711,False
58,58,0,28,29,1,0.4827586206896552,2712.9999999999995,-1467.0,1.8493524199045668,1245.9999999999993,21.482758620689644,3.6194657855590706,-0.20661157024792765,101246.0,1.2459999999999993,631.0,0.631,8.342465753424657,fixed_30m,quality_top_leaf,train,146,0.030501089324618737,0.9785977859778597,29.95103656630898,29.95103656630898,-28.114831573655103,-0.9386931070452711,False
3487,3484,3,1435,1994,55,0.4118828932261768,105266.0,-125642.0,0.8378249311535951,-20376.0,-5.848450057405281,-1.3281370191464295,-3.154956969158673,79624.0,-20.376,26395.0,26.29403092126235,350.066985645933,fixed_60m,baseline,full,209,1.0,0.0,0.0,0.0,0.0,,False
1170,1170,0,495,661,14,0.4230769230769231,42021.0,-41128.0,1.0217127018089867,892.9999999999993,0.7632478632478626,0.4118305410987146,-3.3460559796437583,100893.0,0.8929999999999993,4775.0,4.773424769825958,390.00000000000006,fixed_60m,baseline,heldout,63,1.0,0.0,0.0,0.0,0.0,,False
2317,2314,3,940,1333,41,0.4062229904926534,63245.0,-84514.0,0.7483375535414251,-21269.0,-9.191443388072601,-2.2078958979220644,-3.1205736543909346,78731.0,-21.269,21653.0,21.57017054510679,332.83561643835617,fixed_60m,baseline,train,146,1.0,0.0,0.0,0.0,0.0,,False
566,566,0,278,278,10,0.4911660777385159,17662.0,-14190.0,1.244679351656096,3472.0,6.134275618374558,1.7425690853984326,0.0,103472.0,3.472,1434.0,1.383328670788999,56.87081339712919,fixed_60m,combined,full,209,0.19372822299651568,0.8605817452357072,11.98272567577984,16.33467255473927,3.24224664224664,0.19848862175727844,True
182,182,0,77,103,2,0.4230769230769231,6003.0,-5274.0,1.1382252559726962,728.9999999999994,4.005494505494503,1.201443941915582,-3.670210855274969,100729.0,0.7289999999999994,1434.0,1.4209274673008323,60.666666666666664,fixed_60m,combined,heldout,63,0.15555555555555556,0.8441754916792739,3.24224664224664,16.33467255473927,3.24224664224664,0.19848862175727844,True
