exit_id,setup_id,month,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions,cumulative_end_balance
fixed_30m,inclusion,2025-07,4,65,65,0,26,38,1,0.4,1667.9999999999998,-1227.0,1.3594132029339852,440.9999999999997,6.78461538461538,2.1985103083952415,-1.1494252873563426,100441.0,0.4409999999999997,766.0,0.7641050195515122,341.25,100441.0
fixed_30m,inclusion,2025-08,21,245,245,0,94,145,6,0.3836734693877551,2815.0,-5480.0,0.5136861313868614,-2665.0000000000005,-10.877551020408164,-3.223915767167854,-3.282828282828276,97335.0,-2.6650000000000005,2730.0,2.73,245.0,97776.0
fixed_30m,inclusion,2025-09,21,253,253,0,111,140,2,0.43873517786561267,4264.0,-5139.000000000001,0.8297334111694881,-875.0000000000007,-3.4584980237154177,-0.6489054043690083,-1.4028056112224463,99125.0,-0.8750000000000006,2039.0,2.0310180988714355,253.0,96901.0
fixed_30m,inclusion,2025-10,23,299,299,0,141,152,6,0.47157190635451507,6373.000000000001,-8291.000000000002,0.7686648172717404,-1917.9999999999998,-6.414715719063544,-0.41590093939529726,-0.757575757575768,98082.0,-1.918,2457.0,2.4515086206896552,273.0,94983.0
fixed_30m,inclusion,2025-11,19,255,255,0,111,140,4,0.43529411764705883,9514.0,-9884.0,0.9625657628490489,-369.9999999999998,-1.4509803921568618,0.05288658143880545,-1.8018018018018056,99630.0,-0.3699999999999998,3283.0,3.2629005327184544,281.84210526315786,94613.0
fixed_30m,inclusion,2025-12,21,269,269,0,110,155,4,0.40892193308550184,6028.0,-7772.0,0.7756047349459598,-1743.9999999999998,-6.483271375464684,-1.4756984069485406,-2.28571428571428,98256.0,-1.7439999999999998,3689.0,3.689,269.0,92869.0
fixed_30m,inclusion,2026-01,20,246,246,0,121,123,2,0.491869918699187,6350.0,-6265.0,1.0135674381484436,85.0,0.34552845528455284,0.5420462108757905,-0.1838235294117585,100085.0,0.08499999999999999,1554.0,1.5514091467249693,258.3,92954.0
fixed_30m,inclusion,2026-02,19,276,276,0,94,174,8,0.34057971014492755,4546.0,-10088.0,0.4506344171292625,-5542.0,-20.079710144927535,-4.6558294092230454,-4.641875325061296,94458.0,-5.542,5881.0,5.877238567316917,305.0526315789474,87412.0
fixed_30m,inclusion,2026-03,22,356,356,0,136,216,4,0.38202247191011235,7234.0,-10800.0,0.6698148148148149,-3566.000000000001,-10.016853932584272,-1.9339214546148649,-3.870530955604851,96434.0,-3.566000000000001,4393.0,4.389883182940112,339.81818181818187,83846.0
fixed_30m,inclusion,2026-04,21,310,310,0,143,164,3,0.4612903225806452,9059.0,-6807.0,1.330835904216248,2251.9999999999995,7.264516129032256,2.272608792941341,-1.5094554568238883,102252.0,2.2519999999999993,945.0,0.9285005453098442,310.0,86098.0
fixed_30m,inclusion,2026-05,16,255,255,0,124,127,4,0.48627450980392156,6509.0,-6423.0,1.0133893819087654,86.0,0.33725490196078434,0.5629348120891267,0.0,100086.0,0.086,1278.0,1.262883287053964,334.6875,86184.0
fixed_30m,exclusion,2025-07,4,24,24,0,9,14,1,0.375,609.0,-451.9999999999999,1.3473451327433632,157.00000000000006,6.541666666666669,2.0047915286445233,-1.4920303109485222,100157.0,0.15700000000000006,316.0,0.31538814699483003,126.0,100157.0
fixed_30m,exclusion,2025-08,18,63,63,0,35,26,2,0.5555555555555556,984.0,-988.0,0.9959514170040485,-3.999999999999856,-0.06349206349206121,0.6813966602677478,1.379310344827589,99996.0,-0.003999999999999856,402.0,0.402,73.5,100153.0
fixed_30m,exclusion,2025-09,20,66,66,0,34,32,0,0.5151515151515151,1164.0000000000002,-1400.0000000000005,0.8314285714285713,-236.0000000000001,-3.5757575757575775,0.04382978101934296,0.32607887497476673,99764.0,-0.2360000000000001,563.0,0.563,69.3,99917.0
fixed_30m,exclusion,2025-10,23,86,86,0,48,38,0,0.5581395348837209,2421.0000000000005,-1574.0000000000002,1.5381194409148666,847.0000000000006,9.848837209302332,1.807473691735767,2.550357374918788,100847.0,0.8470000000000005,382.0,0.37804564257862755,78.52173913043478,100764.0
fixed_30m,exclusion,2025-11,18,76,76,0,45,30,1,0.5921052631578947,4418.0,-1597.9999999999998,2.7647058823529416,2820.0000000000005,37.10526315789474,7.305477088060203,3.256302521008414,102820.0,2.8200000000000003,612.0,0.612,88.66666666666667,103584.0
fixed_30m,exclusion,2025-12,20,87,87,0,40,47,0,0.45977011494252873,2375.0000000000005,-2693.9999999999995,0.8815887156644399,-318.9999999999996,-3.666666666666662,-0.1986596604885577,-0.7874015748031482,99681.0,-0.3189999999999996,1157.0,1.1559942849720743,91.35,103265.0
fixed_30m,exclusion,2026-01,20,72,72,0,42,29,1,0.5833333333333334,2289.0,-1702.0000000000002,1.344888366627497,586.9999999999998,8.152777777777775,2.9749627993737047,1.887428378833833,100587.0,0.5869999999999997,635.0,0.6339413179989418,75.60000000000001,103852.0
fixed_30m,exclusion,2026-02,19,68,68,0,26,40,2,0.38235294117647056,1626.0,-2494.0,0.6519647153167603,-868.0,-12.764705882352942,-2.7229655149149146,-3.6392634478758845,99132.0,-0.868,1375.0,1.3718858191904377,75.15789473684211,102984.0
fixed_30m,exclusion,2026-03,22,111,111,0,43,67,1,0.38738738738738737,2284.0,-2969.0,0.7692825867295385,-685.0000000000001,-6.1711711711711725,-0.7835394650271249,-3.4946236559139865,99315.0,-0.685,986.0,0.9849165917490761,105.95454545454547,102299.0
fixed_30m,exclusion,2026-04,21,73,73,0,28,45,0,0.3835616438356164,1310.0,-2071.0,0.6325446644133269,-760.9999999999999,-10.424657534246574,-2.2209331269718056,-4.255319148936176,99239.0,-0.7609999999999999,895.0,0.8944633220067959,73.0,101538.0
fixed_30m,exclusion,2026-05,16,58,58,0,30,28,0,0.5172413793103449,1114.9999999999998,-1418.0000000000002,0.7863187588152324,-303.00000000000057,-5.224137931034493,-1.2103118300506315,1.1181909045477223,99697.0,-0.3030000000000006,531.0,0.5298555120938772,76.125,101235.0
fixed_30m,combined,2025-07,4,24,24,0,9,14,1,0.375,609.0,-451.9999999999999,1.3473451327433632,157.00000000000006,6.541666666666669,2.0047915286445233,-1.4920303109485222,100157.0,0.15700000000000006,316.0,0.31538814699483003,126.0,100157.0
fixed_30m,combined,2025-08,18,63,63,0,35,26,2,0.5555555555555556,984.0,-988.0,0.9959514170040485,-3.999999999999856,-0.06349206349206121,0.6813966602677478,1.379310344827589,99996.0,-0.003999999999999856,402.0,0.402,73.5,100153.0
fixed_30m,combined,2025-09,20,66,66,0,34,32,0,0.5151515151515151,1164.0000000000002,-1400.0000000000005,0.8314285714285713,-236.0000000000001,-3.5757575757575775,0.04382978101934296,0.32607887497476673,99764.0,-0.2360000000000001,563.0,0.563,69.3,99917.0
fixed_30m,combined,2025-10,23,86,86,0,48,38,0,0.5581395348837209,2421.0000000000005,-1574.0000000000002,1.5381194409148666,847.0000000000006,9.848837209302332,1.807473691735767,2.550357374918788,100847.0,0.8470000000000005,382.0,0.37804564257862755,78.52173913043478,100764.0
fixed_30m,combined,2025-11,18,76,76,0,45,30,1,0.5921052631578947,4418.0,-1597.9999999999998,2.7647058823529416,2820.0000000000005,37.10526315789474,7.305477088060203,3.256302521008414,102820.0,2.8200000000000003,612.0,0.612,88.66666666666667,103584.0
fixed_30m,combined,2025-12,20,87,87,0,40,47,0,0.45977011494252873,2375.0000000000005,-2693.9999999999995,0.8815887156644399,-318.9999999999996,-3.666666666666662,-0.1986596604885577,-0.7874015748031482,99681.0,-0.3189999999999996,1157.0,1.1559942849720743,91.35,103265.0
fixed_30m,combined,2026-01,20,72,72,0,42,29,1,0.5833333333333334,2289.0,-1702.0000000000002,1.344888366627497,586.9999999999998,8.152777777777775,2.9749627993737047,1.887428378833833,100587.0,0.5869999999999997,635.0,0.6339413179989418,75.60000000000001,103852.0
fixed_30m,combined,2026-02,19,68,68,0,26,40,2,0.38235294117647056,1626.0,-2494.0,0.6519647153167603,-868.0,-12.764705882352942,-2.7229655149149146,-3.6392634478758845,99132.0,-0.868,1375.0,1.3718858191904377,75.15789473684211,102984.0
fixed_30m,combined,2026-03,22,111,111,0,43,67,1,0.38738738738738737,2284.0,-2969.0,0.7692825867295385,-685.0000000000001,-6.1711711711711725,-0.7835394650271249,-3.4946236559139865,99315.0,-0.685,986.0,0.9849165917490761,105.95454545454547,102299.0
fixed_30m,combined,2026-04,21,73,73,0,28,45,0,0.3835616438356164,1310.0,-2071.0,0.6325446644133269,-760.9999999999999,-10.424657534246574,-2.2209331269718056,-4.255319148936176,99239.0,-0.7609999999999999,895.0,0.8944633220067959,73.0,101538.0
fixed_30m,combined,2026-05,16,58,58,0,30,28,0,0.5172413793103449,1114.9999999999998,-1418.0000000000002,0.7863187588152324,-303.00000000000057,-5.224137931034493,-1.2103118300506315,1.1181909045477223,99697.0,-0.3030000000000006,531.0,0.5298555120938772,76.125,101235.0
fixed_30m,quality_top_leaf,2025-07,2,4,4,0,0,4,0,0.0,0.0,-246.0,0.0,-246.0,-61.5,-13.38189053679363,-13.560747944354862,99754.0,-0.246,246.0,0.246,42.0,99754.0
fixed_30m,quality_top_leaf,2025-08,3,4,4,0,1,3,0,0.25,25.0,-300.0,0.08333333333333333,-275.0,-68.75,-16.883871239622877,-20.23162613775302,99725.0,-0.27499999999999997,300.0,0.3,28.0,99479.0
fixed_30m,quality_top_leaf,2025-09,7,11,11,0,5,6,0,0.45454545454545453,149.99999999999986,-145.00000000000006,1.0344827586206882,4.999999999999801,0.45454545454543643,-0.8618484480519183,-0.42918454935623185,100005.0,0.004999999999999801,125.0,0.12498125281207818,33.0,99484.0
