exit_id,split,feature,winner_non_null,loser_non_null,winner_mean,loser_mean,winner_median,loser_median,median_difference_winner_minus_loser,cliffs_delta,absolute_cliffs_delta,hedges_g,mann_whitney_p,bh_q_within_exit_split
pt40_sl20_eod,full,obs_option_rsi_14,1034,1709,52.947952926371684,52.72548261574275,53.49224939025963,53.409368900437606,0.08288048982202412,0.010879935895186765,0.010879935895186765,0.015656094656122256,0.6325125251403283,0.9166125828082409
pt40_sl20_eod,full,obs_directional_underlying_return_60m_pct,1040,1718,0.16195974776402178,0.18155850489135206,0.10420233895747089,0.11882611786616648,-0.014623778908695595,-0.010689979403599947,0.010689979403599947,-0.04028834031814474,0.6375274274398781,0.9166125828082409
pt40_sl20_eod,full,entry_gamma_delta_pp_per_1pct_spot,1303,2163,20.17737127360429,20.270272392675704,15.543785158536286,16.454926683230124,-0.9111415246938375,-0.010413395737777886,0.010413395737777886,-0.00721771984719164,0.6070876034115682,0.9166125828082409
pt40_sl20_eod,full,obs_directional_vwap_distance_pct,1303,2163,0.18567641477429,0.1656474310366715,0.11737152832367315,0.11666678988886403,0.0007047384348091157,-0.009895369304946944,0.009895369304946944,0.030845495707766943,0.6250873523658337,0.9166125828082409
pt40_sl20_eod,full,obs_directional_distance_from_favorable_extreme_pct,1303,2163,-0.5114850264818989,-0.589051855373576,-0.25104312747797897,-0.2560555670012121,0.005012439523233159,-0.0097669271346148,0.0097669271346148,0.03133619979391369,0.6286804219861866,0.9166125828082409
pt40_sl20_eod,full,obs_distance_above_opening_range_high_pct,1303,2163,-0.45989640001854876,-0.47377178259795455,-0.2862002420436327,-0.33186794241876205,0.04566770037512935,0.009718317804958687,0.009718317804958687,0.01274279072560511,0.6312916921031744,0.9166125828082409
pt40_sl20_eod,full,obs_iv_change_15m_points,970,1598,-0.012356391752577321,-0.0008075719649561965,-0.0007999999999999952,-0.0008999999999999703,9.999999999997511e-05,-0.009255770744358238,0.009255770744358238,-0.07555982076495008,0.6937515925097253,0.9166125828082409
pt40_sl20_eod,full,obs_gamma_delta_pp_per_1pct_spot,1303,2163,20.198764915160083,20.25311546064396,15.525647080269744,16.43958169584763,-0.9139346155778849,-0.00902040137113791,0.00902040137113791,-0.004225284713572664,0.6559990394401899,0.9166125828082409
pt40_sl20_eod,full,obs_underlying_rsi_14,1040,1718,50.63287316546652,50.40530604632971,50.7480321501142,50.255814658376536,0.49221749173766227,0.008637055610280386,0.008637055610280386,0.015879899433915084,0.7034468658760918,0.9166125828082409
pt40_sl20_eod,full,obs_option_smi_signal_3,1289,2133,4.948755606911262,4.2007264475658515,8.394896376877943,5.914206043973017,2.480690332904926,0.008589031136192693,0.008589031136192693,0.015260283062478902,0.6733139956750238,0.9166125828082409
pt40_sl20_eod,full,obs_directional_macd_histogram,804,1262,0.06828273607812899,0.06430570623840391,0.04227079631905258,0.04069810366703305,0.0015726926520195292,0.008264935228768922,0.008264935228768922,0.017476449125746092,0.7511458338862639,0.9300029846775044
pt40_sl20_eod,full,obs_spread_change_5m_pct_points,1303,2163,-0.005907040842088597,-0.011196108591369833,-0.00933804904812019,-0.011293054771335242,0.001955005723215053,0.008243361721891551,0.008243361721891551,0.008694673042726897,0.6839507448071069,0.9166125828082409
