trade_id,exit_id,leaf_id,keep_baseline,keep_inclusion,skip_exclusion,keep_exclusion,keep_combined,keep_quality_top_leaf
T001198,underlying_invalidation_eod,5,True,False,True,False,False,False
T001202,underlying_invalidation_eod,2,True,True,False,True,True,False
T001206,underlying_invalidation_eod,2,True,True,False,True,True,False
T001210,underlying_invalidation_eod,2,True,True,False,True,True,False
T001215,underlying_invalidation_eod,5,True,False,True,False,False,False
T001200,underlying_invalidation_eod,5,True,False,True,False,False,False
T001216,underlying_invalidation_eod,8,True,True,True,False,False,False
T001209,underlying_invalidation_eod,12,True,True,False,True,True,True
T001212,underlying_invalidation_eod,4,True,True,True,False,False,False
T001203,underlying_invalidation_eod,5,True,False,True,False,False,False
T001199,underlying_invalidation_eod,8,True,True,True,False,False,False
T001204,underlying_invalidation_eod,8,True,True,True,False,False,False
T001208,underlying_invalidation_eod,8,True,True,True,False,False,False
T001213,underlying_invalidation_eod,12,True,True,False,True,True,True
T001217,underlying_invalidation_eod,8,True,True,True,False,False,False
T001201,underlying_invalidation_eod,8,True,True,True,False,False,False
T001205,underlying_invalidation_eod,12,True,True,False,True,True,True
T001207,underlying_invalidation_eod,8,True,True,True,False,False,False
T001211,underlying_invalidation_eod,4,True,True,True,False,False,False
T001214,underlying_invalidation_eod,12,True,True,False,True,True,True
T001232,underlying_invalidation_eod,5,True,False,True,False,False,False
T001228,underlying_invalidation_eod,4,True,True,True,False,False,False
T001221,underlying_invalidation_eod,5,True,False,True,False,False,False
T001225,underlying_invalidation_eod,4,True,True,True,False,False,False
T001219,underlying_invalidation_eod,5,True,False,True,False,False,False
T001233,underlying_invalidation_eod,9,True,False,True,False,False,False
T001229,underlying_invalidation_eod,8,True,True,True,False,False,False
T001222,underlying_invalidation_eod,12,True,True,False,True,True,True
T001220,underlying_invalidation_eod,2,True,True,False,True,True,False
T001234,underlying_invalidation_eod,5,True,False,True,False,False,False
T001230,underlying_invalidation_eod,8,True,True,True,False,False,False
T001227,underlying_invalidation_eod,8,True,True,True,False,False,False
T001218,underlying_invalidation_eod,12,True,True,False,True,True,True
T001223,underlying_invalidation_eod,9,True,False,True,False,False,False
T001224,underlying_invalidation_eod,9,True,False,True,False,False,False
T001226,underlying_invalidation_eod,8,True,True,True,False,False,False
T001231,underlying_invalidation_eod,12,True,True,False,True,True,True
T001235,underlying_invalidation_eod,12,True,True,False,True,True,True
T001236,underlying_invalidation_eod,2,True,True,False,True,True,False
T001241,underlying_invalidation_eod,4,True,True,True,False,False,False
T001237,underlying_invalidation_eod,12,True,True,False,True,True,True
T001240,underlying_invalidation_eod,11,True,True,True,False,False,False
T001242,underlying_invalidation_eod,8,True,True,True,False,False,False
T001238,underlying_invalidation_eod,8,True,True,True,False,False,False
T001243,underlying_invalidation_eod,12,True,True,False,True,True,True
T001239,underlying_invalidation_eod,12,True,True,False,True,True,True
T001253,underlying_invalidation_eod,8,True,True,True,False,False,False
T001258,underlying_invalidation_eod,8,True,True,True,False,False,False
T001244,underlying_invalidation_eod,8,True,True,True,False,False,False
T001249,underlying_invalidation_eod,9,True,False,True,False,False,False
T001245,underlying_invalidation_eod,2,True,True,False,True,True,False
T001254,underlying_invalidation_eod,2,True,True,False,True,True,False
T001259,underlying_invalidation_eod,2,True,True,False,True,True,False
