exit_id,setup_id,symbol,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions
end_of_session_1555,quality_top_leaf,TSLA,21,23,23,0,15,8,0,0.6521739130434783,4870.0,-675.0,7.214814814814815,4195.0,182.3913043478261,34.04118559676736,15.763546798029559,104195.0,4.195,406.0,0.4022191400832178,23.000000000000004
fixed_15m,baseline,AAPL,180,608,608,0,202,380,26,0.33223684210526316,4725.0,-9295.0,0.5083378160301237,-4569.999999999999,-7.516447368421051,-1.7009248288820373,-2.7149877149877097,95430.0,-4.569999999999999,4570.0,4.569999999999999,70.93333333333334
fixed_15m,baseline,NVDA,181,619,619,0,247,338,34,0.3990306946688207,6229.0,-8624.0,0.7222866419294991,-2395.0,-3.8691437802907918,-0.894072669843193,-1.3513513513513598,97605.0,-2.395,2618.0,2.6175811870100785,71.81767955801105
fixed_15m,baseline,QQQ,209,757,757,0,316,429,12,0.41743725231175693,11922.0,-15222.0,0.783208513992905,-3300.0000000000014,-4.359313077939236,-0.9514423639683464,-1.754385964912275,96700.0,-3.3000000000000016,3361.0,3.361,76.0622009569378
fixed_15m,baseline,SPY,208,716,716,0,316,394,6,0.441340782122905,9999.0,-12093.0,0.8268419746961052,-2094.0,-2.9245810055865924,-0.7995987037459201,-1.1315439893727741,97906.0,-2.094,2475.0,2.4745793215153427,72.28846153846155
fixed_15m,baseline,TSLA,181,783,783,0,301,457,25,0.384418901660281,18624.0,-27289.000000000004,0.6824727912345633,-8665.0,-11.066411238825031,-1.5458361582961688,-1.7391304347825987,91335.0,-8.665000000000001,8900.0,8.9,90.84530386740332
fixed_15m,inclusion,AAPL,180,608,608,0,202,380,26,0.33223684210526316,4725.0,-9295.0,0.5083378160301237,-4569.999999999999,-7.516447368421051,-1.7009248288820373,-2.7149877149877097,95430.0,-4.569999999999999,4570.0,4.569999999999999,70.93333333333334
fixed_15m,inclusion,NVDA,181,619,619,0,247,338,34,0.3990306946688207,6229.0,-8624.0,0.7222866419294991,-2395.0,-3.8691437802907918,-0.894072669843193,-1.3513513513513598,97605.0,-2.395,2618.0,2.6175811870100785,71.81767955801105
fixed_15m,inclusion,QQQ,209,757,757,0,316,429,12,0.41743725231175693,11922.0,-15222.0,0.783208513992905,-3300.0000000000014,-4.359313077939236,-0.9514423639683464,-1.754385964912275,96700.0,-3.3000000000000016,3361.0,3.361,76.0622009569378
fixed_15m,inclusion,SPY,208,716,716,0,316,394,6,0.441340782122905,9999.0,-12093.0,0.8268419746961052,-2094.0,-2.9245810055865924,-0.7995987037459201,-1.1315439893727741,97906.0,-2.094,2475.0,2.4745793215153427,72.28846153846155
fixed_15m,inclusion,TSLA,181,783,783,0,301,457,25,0.384418901660281,18624.0,-27289.000000000004,0.6824727912345633,-8665.0,-11.066411238825031,-1.5458361582961688,-1.7391304347825987,91335.0,-8.665000000000001,8900.0,8.9,90.84530386740332
fixed_15m,exclusion,AAPL,114,180,180,0,80,94,6,0.4444444444444444,1783.0000000000002,-2083.0,0.8559769563130102,-299.9999999999998,-1.6666666666666654,0.6500787106174906,-0.8605374194981086,99700.0,-0.29999999999999977,445.0,0.44456876829475406,33.1578947368421
fixed_15m,exclusion,NVDA,145,221,221,0,96,114,11,0.4343891402714932,3026.0000000000005,-2837.0,1.0666196686640819,189.0000000000003,0.8552036199095037,0.39513732020116266,-0.7042253521126751,100189.0,0.18900000000000033,493.0,0.49042038875514793,32.00689655172414
fixed_15m,exclusion,QQQ,167,346,346,0,175,166,5,0.5057803468208093,6677.0,-6856.0,0.9738914819136523,-178.99999999999955,-0.5173410404624265,0.07797589110505473,0.2078229099505613,99821.0,-0.17899999999999955,1837.0,1.807643863654255,43.50898203592815
fixed_15m,exclusion,SPY,180,363,363,0,193,167,3,0.5316804407713499,6199.0,-6141.0,1.009444715844325,58.00000000000057,0.15977961432507043,0.4787691541589725,1.1278195488721776,100058.0,0.058000000000000565,1073.0,1.062639267145333,42.35
