exit_id,split,feature,category,winner_count,loser_count,category_count,category_win_rate,winner_share_in_category,loser_share_in_category,odds_ratio_category_vs_rest,cramers_v_feature,chi_square_p_feature,bh_q_within_exit_split
fixed_60m,train,entry_slot,12:30,169,278,447,0.378076062639821,0.1797872340425532,0.20855213803450862,0.8326582900014079,0.038628257158875766,0.49454488372181515,0.8209365869608047
fixed_60m,train,entry_slot,13:30,190,258,448,0.42410714285714285,0.20212765957446807,0.1935483870967742,1.0560735138534336,0.038628257158875766,0.49454488372181515,0.8209365869608047
fixed_60m,train,entry_slot,14:30,183,265,448,0.40848214285714285,0.1946808510638298,0.19879969992498125,0.9749075472519003,0.038628257158875766,0.49454488372181515,0.8209365869608047
fixed_60m,train,dte_category,1,179,274,453,0.39514348785871967,0.19042553191489361,0.20555138784696175,0.9098151357389488,0.036654080177231145,0.38340070446967184,0.8209365869608047
fixed_60m,train,dte_category,2,227,331,558,0.4068100358422939,0.24148936170212765,0.2483120780195049,0.9642469461505695,0.036654080177231145,0.38340070446967184,0.8209365869608047
fixed_60m,train,dte_category,3,267,336,603,0.4427860696517413,0.28404255319148936,0.25206301575393847,1.1773728642484371,0.036654080177231145,0.38340070446967184,0.8209365869608047
fixed_60m,train,dte_category,4,267,392,659,0.40515933232169954,0.28404255319148936,0.2940735183795949,0.9527234382610094,0.036654080177231145,0.38340070446967184,0.8209365869608047
fixed_60m,train,symbol,AAPL,148,231,379,0.39050131926121373,0.1574468085106383,0.17329332333083272,0.8923901860721805,0.027995853030363126,0.7758644834526751,0.8209365869608047
fixed_60m,train,symbol,NVDA,163,218,381,0.42782152230971127,0.17340425531914894,0.16354088522130533,1.073582670502623,0.027995853030363126,0.7758644834526751,0.8209365869608047
fixed_60m,train,symbol,QQQ,210,311,521,0.40307101727447214,0.22340425531914893,0.23330832708177043,0.945882402057563,0.027995853030363126,0.7758644834526751,0.8209365869608047
fixed_60m,train,symbol,SPY,207,278,485,0.4268041237113402,0.22021276595744682,0.20855213803450862,1.0721388194375605,0.027995853030363126,0.7758644834526751,0.8209365869608047
fixed_60m,train,symbol,TSLA,212,295,507,0.4181459566074951,0.225531914893617,0.2213053263315829,1.025128703603701,0.027995853030363126,0.7758644834526751,0.8209365869608047
fixed_60m,train,right,call,499,700,1199,0.41618015012510423,0.5308510638297872,0.5251312828207052,1.023159319140268,0.004747473924577832,0.8209365869608047,0.8209365869608047
fixed_60m,train,right,put,441,633,1074,0.4106145251396648,0.46914893617021275,0.4748687171792948,0.9773648944919663,0.004747473924577832,0.8209365869608047,0.8209365869608047
pt20_sl10_eod,full,weekday,Friday,127,346,473,0.26849894291754756,0.1125886524822695,0.14710884353741496,0.73721668579382,0.061987738361250114,0.009594883439010094,0.04797441719505047
pt20_sl10_eod,full,weekday,Monday,259,498,757,0.34214002642007924,0.2296099290780142,0.21173469387755103,1.1102721620871816,0.061987738361250114,0.009594883439010094,0.04797441719505047
pt20_sl10_eod,full,weekday,Thursday,217,452,669,0.3243647234678625,0.19237588652482268,0.1921768707482993,1.0021941854086671,0.061987738361250114,0.009594883439010094,0.04797441719505047
pt20_sl10_eod,full,weekday,Tuesday,292,524,816,0.35784313725490197,0.25886524822695034,0.2227891156462585,1.2190159757079437,0.061987738361250114,0.009594883439010094,0.04797441719505047
pt20_sl10_eod,full,weekday,Wednesday,233,532,765,0.3045751633986928,0.20656028368794327,0.2261904761904762,0.8914405097999124,0.061987738361250114,0.009594883439010094,0.04797441719505047
pt20_sl10_eod,full,symbol,AAPL,177,431,608,0.2911184210526316,0.15691489361702127,0.1832482993197279,0.8307094549132339,0.04129448526676644,0.20411521315902506,0.5102880328975626
pt20_sl10_eod,full,symbol,NVDA,217,400,617,0.35170178282009723,0.19237588652482268,0.17006802721088435,1.1632983455266763,0.04129448526676644,0.20411521315902506,0.5102880328975626
pt20_sl10_eod,full,symbol,QQQ,238,518,756,0.3148148148148148,0.21099290780141844,0.22023809523809523,0.9475964279545638,0.04129448526676644,0.20411521315902506,0.5102880328975626
pt20_sl10_eod,full,symbol,SPY,233,482,715,0.3258741258741259,0.20656028368794327,0.20493197278911565,1.010838302045634,0.04129448526676644,0.20411521315902506,0.5102880328975626
pt20_sl10_eod,full,symbol,TSLA,263,521,784,0.3354591836734694,0.23315602836879432,0.22151360544217688,1.069217744441361,0.04129448526676644,0.20411521315902506,0.5102880328975626
pt20_sl10_eod,full,entry_slot,10:30,223,488,711,0.3136427566807314,0.1976950354609929,0.20748299319727892,0.9420780660887886,0.02762156092837945,0.6170996782829177,0.9009172281242541
pt20_sl10_eod,full,entry_slot,11:30,213,483,696,0.30603448275862066,0.18882978723404256,0.20535714285714285,0.9017133962544414,0.02762156092837945,0.6170996782829177,0.9009172281242541
pt20_sl10_eod,full,entry_slot,12:30,225,461,686,0.32798833819241985,0.19946808510638298,0.19600340136054423,1.0229467563543964,0.02762156092837945,0.6170996782829177,0.9009172281242541
pt20_sl10_eod,full,entry_slot,13:30,230,465,695,0.33093525179856115,0.20390070921985815,0.19770408163265307,1.0402078413300124,0.02762156092837945,0.6170996782829177,0.9009172281242541
pt20_sl10_eod,full,entry_slot,14:30,237,455,692,0.342485549132948,0.21010638297872342,0.19345238095238096,1.109776871822118,0.02762156092837945,0.6170996782829177,0.9009172281242541
pt20_sl10_eod,full,dte_category,1,228,485,713,0.31977559607293127,0.20212765957446807,0.20620748299319727,0.976054040237401,0.019589508410277706,0.7207337824994033,0.9009172281242541
pt20_sl10_eod,full,dte_category,2,272,588,860,0.31627906976744186,0.24113475177304963,0.25,0.9539252286850368,0.019589508410277706,0.7207337824994033,0.9009172281242541
pt20_sl10_eod,full,dte_category,3,320,624,944,0.3389830508474576,0.28368794326241137,0.2653061224489796,1.0971978572344578,0.019589508410277706,0.7207337824994033,0.9009172281242541
pt20_sl10_eod,full,dte_category,4,308,655,963,0.31983385254413293,0.2730496453900709,0.27848639455782315,0.9736742168060907,0.019589508410277706,0.7207337824994033,0.9009172281242541
pt20_sl10_eod,full,right,call,593,1232,1825,0.32493150684931504,0.525709219858156,0.5238095238095238,1.007595411389708,0.0011657630824443395,0.9451725851888445,0.9451725851888446
pt20_sl10_eod,full,right,put,535,1120,1655,0.32326283987915405,0.47429078014184395,0.47619047619047616,0.9924618440061848,0.0011657630824443395,0.9451725851888445,0.9451725851888446
pt20_sl10_eod,heldout,symbol,AAPL,54,163,217,0.2488479262672811,0.1424802110817942,0.20632911392405062,0.6426011264720942,0.0843496915769867,0.0806232295232717,0.22090568523347115
pt20_sl10_eod,heldout,symbol,NVDA,78,145,223,0.34977578475336324,0.20580474934036938,0.18354430379746836,1.1550893869712149,0.0843496915769867,0.0806232295232717,0.22090568523347115
pt20_sl10_eod,heldout,symbol,QQQ,74,158,232,0.31896551724137934,0.19525065963060687,0.2,0.9731422346362947,0.0843496915769867,0.0806232295232717,0.22090568523347115
pt20_sl10_eod,heldout,symbol,SPY,75,153,228,0.32894736842105265,0.19788918205804748,0.19367088607594937,1.029749201713708,0.0843496915769867,0.0806232295232717,0.22090568523347115
pt20_sl10_eod,heldout,symbol,TSLA,98,171,269,0.3643122676579926,0.25857519788918204,0.21645569620253163,1.2639649110088085,0.0843496915769867,0.0806232295232717,0.22090568523347115
pt20_sl10_eod,heldout,entry_slot,10:30,75,160,235,0.3191489361702128,0.19788918205804748,0.20253164556962025,0.974024113888761,0.0831854636010731,0.08836227409338845,0.22090568523347115
